CS,BZO,BZO_ratio,Total_GSL,C3ratio_emmeans,Alk_emmeans,OH_emmeans,MSO_emmeans,GSOH_emmeans,lc,sc,GSOX_emmeans,Alk_OH_ratio,Ref,AOP,MAM,GSOH,Key,Classification,Classification_name,PC1,PC2,PC3,PC4,PC5,PC6,Name,Country,Lat,Long
CS78844,0.001794078,0.064162972,0.027961267,0.957978655,0.589739037,0.31837777,0.000227517,1.031713279,0.777129768,0.129525854,0.091655675,1.852324792,Accession,Alk,C3,F,C3_Alk_F,1,Allyl,-0.800831698,-0.410029661,-0.478787212,-0.445531211,0.385564548,9.99E-16,IP-Vim-0,ESP,41.88,-6.51
cs78845,0.001581459,0.064607221,0.024478053,0.999266945,0.604458631,0.327841598,0.003285333,0.938091166,0.680734771,0.199456466,0.064414439,1.843752089,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-0.928781537,-0.50422646,-0.170223645,-0.413054176,0.379089126,6.11E-16,Vimmerby,SWE,57.7,15.8
CS78846,0.00297305,0.121008747,0.024568885,0.298403491,0.070433174,0.181599821,0.030878952,1.058417636,0.611279671,0.25561864,0.717088053,0.387848259,Accession,MSO,C4,F,C4_MSO_F,11,4MSO,2.309655485,1.412630861,-0.542747785,0.35856028,0.53990406,8.88E-16,IP-Vin-0,ESP,42.8,-5.77
CS78847,0.004442666,0.239758536,0.018529751,0.959031764,-0.012270811,0.906071846,0.000356039,0.937946456,0.624836132,0.124899357,0.105842926,-0.013542867,Accession,OH,C3,NF,C3_OH_NF,8,3OHP,-1.736746657,2.203152136,0.020077196,0.683839898,-0.721815906,9.71E-16,Vinsl??v,SWE,56.1,13.9167
CS78848,0.001272009,0.064365347,0.019762326,0.289039768,0.415303097,0.155230186,0.00017475,0.515230153,0.657366281,0.238601464,0.429291967,2.675401661,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,1.372200057,-0.494350666,0.61273019,1.029443854,0.157552879,-2.22E-15,IP-Vis-0,ESP,39.85,-6.04
CS78849,0.000673775,0.034064183,0.019779573,0.99986128,0.400129003,0.44002473,0.00058023,0.937946456,0.856898677,0.071797657,0.159266037,0.909332988,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-0.860175975,0.344500444,-0.151897699,-0.002576084,0.350612237,5.97E-16,IP-Voz-0,ESP,41.85,-1.88
CS78850,0.001654243,0.056239456,0.029414278,0.979516513,0.740876874,0.205988343,0.000142883,1.012597571,0.729239145,0.196059138,0.0529919,3.596693217,Accession,Alk,C3,F,C3_Alk_F,1,Allyl,-0.753762736,-1.069753763,-0.46479939,-0.68684573,0.569223045,2.22E-16,IP-Vpa-1,ESP,40.5,-3.96
CS78852,0.006954824,0.258243782,0.026931235,0.981039922,-0.005203696,0.885296604,0.000150986,0.937946456,0.534319461,0.202644512,0.119756107,-0.005877913,Accession,OH,C3,NF,C3_OH_NF,8,3OHP,-1.693245945,2.171513216,0.017997137,0.669031218,-0.615987009,1.28E-15,Wank-2,GER,48.5,9.11
CS78853,0.005068807,0.21477689,0.023600337,0.971699064,-0.005547284,0.935769953,0.000160955,0.937946456,0.560473181,0.21692241,0.069616376,-0.005928043,Accession,OH,C3,NF,C3_OH_NF,8,3OHP,-1.908915992,2.198684261,0.0350177,0.659056726,-0.823877687,1.67E-15,WAR,USA,41.7302,-71.2825
CS78854,0.001569158,0.065012011,0.024136432,-0.001880679,0.533309287,0.101951351,0.000115201,1.000261045,0.60501804,0.296345992,0.364624161,5.231017332,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,1.650976821,-0.728560041,-0.85311377,0.249125115,-0.380254559,5.55E-17,WAV-8,FRA,50.65,2.99
CS78855,0.004989396,0.225161682,0.02215917,0.98809129,-0.004788473,0.714122664,0.019239547,0.937946456,0.501957608,0.267640935,0.271426261,-0.006705392,Accession,OH,C3,NF,C3_OH_NF,8,3OHP,-0.864515276,2.152886676,0.150095292,0.384862899,-0.059982549,1.25E-15,Wil-1,LTU,54.6833,25.3167
CS78856,0.004183724,0.165449971,0.025286943,0.985063591,-0.003585016,0.925704244,0.00010402,0.937946456,0.505734321,0.31326772,0.077776752,-0.003872744,Accession,OH,C3,NF,C3_OH_NF,8,3OHP,-1.887169123,2.190303882,0.035499505,0.652658247,-0.765335106,1.05E-15,Wil-2,LTU,54.6833,25.3167
CS78858,0.004672755,0.158951036,0.029397449,0.987812035,0.137891616,0.77048175,0.000133324,0.937946456,0.622428802,0.210237323,0.091493309,0.17896805,Accession,OH,C3,NF,C3_OH_NF,8,3OHP,-1.59247359,1.550674302,-0.026456409,0.422153445,-0.434770084,5.55E-16,Wu-0,GER,49.7878,9.9361
CS78861,0.006829823,0.316453344,0.021582401,0.970691721,0.022041505,0.73894191,0.000138588,0.937946456,0.368358135,0.275487976,0.238877998,0.029828468,Accession,OH,C3,NF,C3_OH_NF,8,3OHP,-1.092469397,1.975684739,-0.045706155,0.665069471,-0.128472679,8.74E-16,Xan-5,AZE,38.6536,48.7992
CS78862,0.007317556,0.32187021,0.022734493,0.930344182,0.051157672,0.74961254,-0.001482365,0.938110008,0.2405744,0.426992546,0.200712153,0.068245485,Accession,OH,C3,NF,C3_OH_NF,8,3OHP,-1.17513117,1.845802057,-0.074366293,0.65301427,-0.285707505,8.64E-16,Xan-6,AZE,38.6536,48.7992
CS78864,0.003256148,0.121818337,0.026729539,0.316338916,0.713545454,0.162936657,0.050154484,0.387025678,0.469373526,0.393046807,0.073363405,4.379281297,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,0.608086524,-1.526383578,1.498843478,-0.244634489,-0.658991468,-2.61E-15,Yeg-2,ARM,39.8692,45.3622
CS78865,0.003964249,0.144897044,0.027359074,0.297094604,0.717289386,0.184669833,8.49E-05,0.420522385,0.483288611,0.35492608,0.097955924,3.884171943,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,0.361897343,-1.721028551,0.886346619,0.570145621,-0.50309646,-2.78E-15,Yeg-4,ARM,39.8692,45.3622
CS78866,0.003080561,0.135631286,0.022712761,0.211361391,0.643907858,0.160092165,0.083746427,0.365438903,0.524116991,0.329638742,0.11225355,4.022107256,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,1.073314094,-1.174768886,1.866574364,-0.607599979,-0.890972216,-2.28E-15,Yeg-5,ARM,39.8692,45.3622
